Empirical Reward Distribution: {2.5e-05: 1.0}
Empirical Reward Distribution: {1: 0.18802, 2.5e-05: 0.76122, 243: 0.01188, 32: 0.0376, 1024: 0.00128}
Empirical Reward Distribution: {2.5e-05: 0.76222, 1: 0.18694, 243: 0.01186, 32: 0.03768, 1024: 0.0013}
Empirical Reward Distribution: {1: 0.18666, 2.5e-05: 0.76232, 32: 0.0378, 1024: 0.0013, 243: 0.01192}
Empirical Reward Distribution: {1: 0.18664, 2.5e-05: 0.76186, 32: 0.03828, 243: 0.01196, 1024: 0.00126}
Empirical Reward Distribution: {1: 0.18474, 2.5e-05: 0.76378, 32: 0.0381, 243: 0.0121, 1024: 0.00128}
Empirical Reward Distribution: {2.5e-05: 0.76446, 1: 0.18334, 32: 0.03868, 243: 0.01224, 1024: 0.00128}
Empirical Reward Distribution: {2.5e-05: 0.76396, 1: 0.1836, 243: 0.01228, 32: 0.03888, 1024: 0.00128}
Empirical Reward Distribution: {1: 0.18358, 2.5e-05: 0.76364, 32: 0.03916, 243: 0.0123, 1024: 0.00132}
Empirical Reward Distribution: {2.5e-05: 0.76328, 243: 0.0123, 32: 0.03924, 1: 0.18384, 1024: 0.00134}
Empirical Reward Distribution: {2.5e-05: 0.7627, 32: 0.03978, 1: 0.18394, 243: 0.01222, 1024: 0.00136}
Empirical Reward Distribution: {2.5e-05: 0.76198, 243: 0.0125, 1: 0.18402, 32: 0.0401, 1024: 0.0014}
Empirical Reward Distribution: {2.5e-05: 0.76142, 1: 0.18398, 32: 0.04064, 243: 0.01254, 1024: 0.00142}
